L,D=1,D=1/L,t_D1,t_D0,numerator_gamma,var_D,gamma,mean_daf_diff
3035,2170,0.71499176276771,0.08805576036866358,-0.23326767091541137,-0.04129089911098627,0.20347201376581292,-0.20293158919884788,-0.0033703459637561793
2960,2146,0.725,0.0943322460391426,-0.23877764127764128,-0.039722483690587146,0.19937500000000002,-0.19923502791517061,0.0027270270270270255
3065,2155,0.7030995106035889,0.0877582366589327,-0.24255824175824173,-0.04596019727255179,0.20875058879258268,-0.22016798869112864,-0.01031288743882545
2919,2041,0.6992120589242892,0.09298873101420872,-0.24329988597491448,-0.04516028876345972,0.21016063378925404,-0.21488462396219163,-0.00807947927372388
2879,2116,0.7349774227162209,0.08322258979206049,-0.21243512450851895,-0.034244238967925604,0.19478561081364246,-0.17580476722527594,0.004866620354289683
3196,2287,0.7155819774718398,0.08315128989943159,-0.2218653421633554,-0.03932256925879692,0.2030871613218024,-0.19362410209913872,-0.0033926783479349197
3072,2184,0.7109375,0.10510256410256409,-0.23278378378378378,-0.03690785256410257,0.20550537109375,-0.1795955617494079,0.007432291666666667
2968,2093,0.7051886792452831,0.10076779741997133,-0.23467314285714286,-0.039476811744449156,0.20789760590957634,-0.18988584102127337,0.0018760107816711594
3025,2162,0.7147107438016529,0.09343570767807585,-0.22841714947856312,-0.038508755131841495,0.20389929649614097,-0.18886163804184739,0.0016145454545454562
3034,2159,0.7116018457481872,0.0957707271885132,-0.2551748571428571,-0.04597185685894888,0.20522465887596036,-0.2240074711817876,-0.005441331575477917
3212,2234,0.6955168119551681,0.09969695613249777,-0.22813190184049076,-0.039106281725534604,0.21177317624288744,-0.1846611663447061,-0.00012141967621419721
3086,2265,0.7339598185353208,0.08332980132450332,-0.20972838002436056,-0.03362710081418755,0.19526280331091983,-0.17221457565905485,0.005364549578742709
3065,2209,0.7207177814029364,0.08728157537347216,-0.22081074766355138,-0.037292323484602874,0.2012836609725656,-0.18527248214988357,0.001236867862969003
3012,2157,0.7161354581673307,0.08976726935558646,-0.2170140350877193,-0.0361208448542409,0.20328546372279807,-0.17768533073026616,0.0026829349269588305
3034,2168,0.7145682267633487,0.08927859778597785,-0.2266581986143187,-0.039212503070976665,0.20396047606363224,-0.19225540079021497,-0.000899802241265656
3035,2122,0.6991762767710049,0.08841093308199811,-0.1992880613362541,-0.033354470542384086,0.21032881077164003,-0.15858250907241606,0.0018642504118616147
3025,2228,0.7365289256198347,0.09939272890484739,-0.24736135508155582,-0.03898545291333442,0.1940540673451267,-0.20089995250652737,0.008033057851239669
2968,2016,0.6792452830188679,0.09226140873015871,-0.22105567226890754,-0.04131136755016472,0.21787112851548593,-0.18961377687649136,-0.008236522911051213
3187,2267,0.711327267022278,0.09720776356418175,-0.23254021739130434,-0.03906678930685686,0.20534078621289478,-0.1902534320013409,0.002018512707875744
3042,2205,0.7248520710059172,0.09514149659863945,-0.23166427718040616,-0.037563960337586695,0.19944154616434998,-0.18834571361892713,0.005221564760026298
3061,2184,0.7134923227703365,0.09338003663003663,-0.22304446978335232,-0.03714985556205745,0.2044210281181264,-0.18173206496442282,0.0027219862789937925
3034,2093,0.6898483849703362,0.10331581462016245,-0.22368544102019128,-0.037332834028486195,0.21395759072415504,-0.17448707429416502,0.0018958470665787735
2892,2032,0.7026279391424619,0.09610482283464565,-0.22895930232558137,-0.03950721036037507,0.20894191827887876,-0.189082261165249,-0.000560165975103734
2888,2029,0.7025623268698061,0.08973780187284375,-0.22144289044289042,-0.03912845082863575,0.20881176935221482,-0.18738623282596464,-0.002742382271468145
2923,2021,0.691412931919261,0.10110094012864917,-0.23211640798226163,-0.04042967909817258,0.21336108949407231,-0.18948946686596205,-0.0017256243585357506
2890,2122,0.7342560553633218,0.0885966069745523,-0.21092057291666666,-0.03250685323306015,0.19512410052561632,-0.16659578773454783,0.009001730103806229
3170,2262,0.7135646687697161,0.09235853227232539,-0.24545704845814978,-0.04385282419455159,0.20439013225328143,-0.21455450765210582,-0.004403785488958991
2985,2122,0.7108877721943049,0.08886804901036757,-0.2050255220417633,-0.0335436320780781,0.20537191821755343,-0.16333115242437796,0.003968509212730318
3000,2056,0.6853333333333333,0.09510651750972762,-0.21675953389830507,-0.03828014915693904,0.21565155555555554,-0.17750926515843013,-0.0030273333333333346
2886,2097,0.7266112266112266,0.07863233190271816,-0.23295817490494297,-0.042190952920566654,0.19864735197375535,-0.2123912174079259,-0.006553014553014553
3009,2122,0.705217680292456,0.0904048067860509,-0.23492108229988726,-0.042600842931463226,0.20788570369538337,-0.20492435109384238,-0.005495513459621135
3178,2276,0.7161736941472624,0.09104833040421792,-0.23592461197339243,-0.04111969980345985,0.2032689339587259,-0.20229210141776646,-0.001755191944619258
2808,1938,0.6901709401709402,0.09939473684210526,-0.2516551724137931,-0.04717470760233918,0.2138350135145007,-0.22061264349086657,-0.009370726495726497
3235,2306,0.7128284389489954,0.08709280138768431,-0.21296770721205596,-0.036147693202733006,0.20470405557453375,-0.17658513458015712,0.0009239567233384853
3016,2090,0.6929708222811671,0.07942488038277512,-0.1897805405405405,-0.03384581752186107,0.21261536064948042,-0.1591880164183414,-0.003166114058355438
2970,2098,0.7063973063973064,0.09572688274547186,-0.2310676605504587,-0.039736416917827776,0.20740015191193645,-0.1915929981319403,-0.00022087542087542285
2927,2031,0.6938845234028015,0.090040866568193,-0.2126361607142857,-0.037528316896104905,0.21240879158486853,-0.17667967797420644,-0.002613255893406218
3151,2273,0.7213582989527134,0.0929388473383194,-0.2327243735763098,-0.038950076812743754,0.20100050348476114,-0.193780991278446,0.0021954934941288487
3194,2277,0.7128991859737007,0.09536671058410189,-0.21613631406761177,-0.03467305146974908,0.2046739366117356,-0.1694062861336542,0.005933938634940516
3001,2189,0.7294235254915028,0.09364595705801736,-0.26245689655172416,-0.04567626886667441,0.19736484595104975,-0.23143062102357884,-0.002707097634121959
3064,2199,0.7176892950391645,0.09344702137335152,-0.26633757225433524,-0.048808853300277705,0.20261137082535155,-0.2408988849019255,-0.008124020887728461
